Order ID,Customer ID,Product ID,Ordered Product Count,Delivered Product Count,Damaged Product Count,Freight Details
ORD0001,CUST0001,K00005,10,10,0,TRK1121
ORD0002,CUST0002,K00008,30,25,5,TRK1122
ORD0003,CUST0003,K00003,50,50,0,TRK1123
ORD0004,CUST0004,K00004,40,30,10,TRK1124
ORD0005,CUST0005,K00002,20,20,0,TRK1125
ORD0006,CUST0006,K00001,1000,900,100,TRK1126
ORD0007,CUST0007,K00006,5,5,0,TRK1127
ORD0008,CUST0008,K00007,15,15,0,TRK1128
ORD0009,CUST0009,K00009,60,50,10,TRK1129
ORD0010,CUST0010,K00010,45,45,0,TRK1130
